1,软件工程,戴国强,机械工业出版社,19980528,2
2,汇编语言,李利光,北京大学出版社,19980318,2
3,计算机基础,王飞,经济科学出版社,19980218,1
4,FLASH精选,刘扬,中国纺织出版社,19990312,2
5,java基础,王一,电子工业出版社,19990528,3
6,世界杯,柳飞,世界出版社,19990412,2
7,JAVA程序设计,张余,人民邮电出版社,19990613,1
8,新概念3,余智,外语出版社,19990723,2
9,军事要闻,张强,解放军出版社,19990722,3
10,大众生活,许阳,电子出版社,19990819,3
11,南方旅游,王爱国,南方出版社,19990930,2
13,幽灵,钱力华,华光出版社,19991008,1
14,期货分析,孙宝,飞鸟出版社,19991122,3
15,人工智能,周未,机械工业出版社,19991223,3
16,数据库系统概念,吴红,机械工业出版社,20000328,3
17,计算机理论基础,戴家,机械工业出版社,20000218,4
18,编译原理,郑键,机械工业出版社,20000415,2
19,通讯与网络,欧阳杰,机械工业出版社,20000517,1
20,现代操作系统,王小国,机械工业出版社,20010128,1
21,网络基础,王大尉,北京大学出版社,20000617,1
22,万紫千红,丛丽,北京大学出版社,20000702,3
23,经济概论,思佳,北京大学出版社,20000819,3
24,经济与科学,毛波,经济科学出版社,20000923,2
25,计算机体系结构,方丹,机械工业出版社,20000328,4
26,软件工程,牛田,经济科学出版社,20000328,4
27,世界语言大观,候丙辉,经济科学出版社,20000814,2
28,高级语言程序设计,寇国华,清华大学出版社,20000117,3
29,操作系统概论,聂元名,清华大学出版社,20001028,1
30,数据库及应用,孙家萧,清华大学出版社,20000619,1
31,软件工程,戴志名,电子工业出版社,20000324,3
32,SOL使用手册,贺民,电子工业出版社,19990425,2
33,模拟电路,邓英才,电子工业出版社,20000527,2
34,集邮爱好者,李云,人民邮电出版社,20000630,1
36,高等数学,李放,人民邮电出版社,20000812,1
37,南方周末,邓光明,南方出版社,20000923,3
38,十大旅游胜地,潭晓明,南方出版社,20000403,2
39,黑幕,李仪,华光出版社,20000508,24
